Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Areal_m2;Årsavgift_nok;Årsavgift_arealgrunnlag;Årsavgift_kalenderår;Årsavgift_sats;Geometri
0006/1997-VB;Engebøfjellet 6;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;299150;3000;30;;100;POLYGON ((5.43557343322708 61.4976727524129,5.44139365956837 61.4976990690401,5.44156465160895 61.4890402204854,5.43574606392928 61.4890139119702,5.43557343322708 61.4976727524129))
0007/1997-VB;Engebøfjellet 7;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;297000;3000;30;;100;POLYGON ((5.4413839078077 61.4981925762412,5.44757977291832 61.4982203165843,5.44773763429198 61.4901447124827,5.44154339955336 61.4901169739848,5.4413839078077 61.4981925762412))
0008/1997-VB;Engebøfjellet 8;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;276000;2800;28;;100;POLYGON ((5.44757977291832 61.4982203165843,5.45508997561241 61.4982535753766,5.45520950475966 61.4920622914576,5.44770082114333 61.4920290283404,5.44757977291832 61.4982203165843))
0009/1997-VB;Engebøfjellet 9;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;299750;3000;30;;100;POLYGON ((5.45508997561241 61.4982535753766,5.46541664494506 61.4982986567912,5.46550944552505 61.4934084530018,5.4551844014639 61.4933633638947,5.45508997561241 61.4982535753766))
0003/1996-ØB;Ringnes;UTVINNINGSRETT;World Wide Minerals AS;934178289;Godkjent;1996-07-05;1996-09-30;Sølv;3334;Flesberg;33;Buskerud;192000;2000;20;;100;POLYGON ((9.50816773058039 59.7734507106193,9.5152862206001 59.7733899373,9.51514120572455 59.7690821956643,9.50802363827223 59.7691429723835,9.50816773058039 59.7734507106193))
0001/2004-ØB;Numeniåsen;UTVINNINGSRETT;World Wide Minerals AS;934178289;Godkjent;2004-08-23;2004-09-07;Sølv;3334;Flesberg;33;Buskerud;250000;2500;25;;100;POLYGON ((9.52081584047014 59.8158035527759,9.52972521114843 59.8157266617512,9.5295719640469 59.8112395347054,9.52066379257895 59.8113164078305,9.52081584047014 59.8158035527759))
0001/2006-FB;Nussir 1;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;297500;3000;30;;100;POLYGON ((24.2223253866873 70.4655072721432,24.243809798938 70.4680051643667,24.2468484110301 70.4651027314598,24.2253666761624 70.4626052137569,24.2223253866873 70.4655072721432))
0002/2006-FB;Nussir 2;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;294875;3000;30;;100;POLYGON ((24.2006880901854 70.4637233540307,24.2223253866873 70.4655072721432,24.2253666761624 70.4626052137569,24.2032011746014 70.4606852176293,24.2006880901854 70.4637233540307))
0003/2006-FB;Nussir 3;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;299250;3000;30;;100;POLYGON ((24.1789629630828 70.4607264986466,24.2006880901854 70.4637233540307,24.2032011746014 70.4606852176293,24.1825451911622 70.4578272665881,24.1789629630828 70.4607264986466))
0004/2006-FB;Nussir 4;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;297500;3000;30;;100;POLYGON ((24.1583361079137 70.4571488381381,24.1789629630828 70.4607264986466,24.1825451911622 70.4578272665881,24.1627204990812 70.4543428570037,24.1583361079137 70.4571488381381))
0005/2006-FB;Nussir 5;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;297500;3000;30;;100;POLYGON ((24.1383856312078 70.4535716096438,24.1583361079137 70.4571488381381,24.1627204990812 70.4543428570037,24.1426365626449 70.4508103751169,24.1383856312078 70.4535716096438))
0006/2006-FB;Nussir 6;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;175000;1800;18;;100;POLYGON ((24.1264174223563 70.4514600693063,24.1383856312078 70.4535716096438,24.1426365626449 70.4508103751169,24.1308033093374 70.448699688418,24.1264174223563 70.4514600693063))
0007/2006-FB;Nussir 7;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;288940;2900;29;;100;POLYGON ((24.1058808650929 70.4494902215817,24.1264174223563 70.4514600693063,24.1308033093374 70.448699688418,24.1084046029555 70.446498238093,24.1058808650929 70.4494902215817))
0008/2006-FB;Nussir 8;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;201825;2100;21;;100;POLYGON ((24.0917390547216 70.4483529847627,24.1058808650929 70.4494902215817,24.1084046029555 70.446498238093,24.0918653959571 70.4451265787461,24.0917390547216 70.4483529847627))
0009/2006-FB;Nussir 9;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;243000;2500;25;;100;POLYGON ((24.0756827357928 70.4482817392717,24.0917390547216 70.4483529847627,24.0918811837665 70.444723272231,24.0758277255544 70.444652041631,24.0756827357928 70.4482817392717))
0010/2006-FB;Nussir 10;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;255200;2600;26;;100;POLYGON ((24.0601617430957 70.448211520827,24.0756827357928 70.4482817392717,24.0758402512847 70.4443383594638,24.0603222621628 70.4442681560041,24.0601617430957 70.448211520827))
0011/2006-FB;Nussir 11;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;200000;2000;20;;100;POLYGON ((24.0600157296995 70.4517964553645,24.0733982881093 70.4518570651116,24.0735419024195 70.4482721326968,24.0601617430957 70.448211520827,24.0600157296995 70.4517964553645))
0012/2006-FB;Nussir 12;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;216000;2200;22;;100;POLYGON ((24.05131819029 70.4549835675857,24.067379739532 70.4550569482164,24.0675099725601 70.4518305138015,24.051450965925 70.451757142803,24.05131819029 70.4549835675857))
0013/2006-VB;Tellnes 1;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.4022084084833 58.3381780683872,6.41074621493033 58.3383341622562,6.41112782161844 58.3338441081619,6.40259108364237 58.3336880466139,6.4022084084833 58.3381780683872))
0014/2006-VB;Tellnes 2;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.41074621493033 58.3383341622562,6.4192840193858 58.3384897178765,6.4196645612426 58.3339996236553,6.41112782161844 58.3338441081619,6.41074621493033 58.3383341622562))
0015/2006-VB;Tellnes 3;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.4192840193858 58.3384897178765,6.42782190248898 58.338644706352,6.42820138685521 58.3341545815658,6.4196645612426 58.3339996236553,6.4192840193858 58.3384897178765))
0016/2006-VB;Tellnes 4;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.39367016110333 58.3379765508373,6.4022084084833 58.3381780683872,6.40259108364237 58.3336880466139,6.39405393374375 58.3334865474302,6.39367016110333 58.3379765508373))
0017/2006-VB;Tellnes 5;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.40259108364237 58.3336880466139,6.41112782161844 58.3338441081619,6.41133865196087 58.3293545300431,6.40280299103934 58.329198480428,6.40259108364237 58.3336880466139))
0018/2006-VB;Tellnes 6;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.41112782161844 58.3338441081619,6.4196645612426 58.3339996236553,6.41987432498041 58.3295100221868,6.41133865196087 58.3293545300431,6.41112782161844 58.3338441081619))
0019/2006-VB;Tellnes 7;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.4196645612426 58.3339996236553,6.42820138685521 58.3341545815658,6.428410077331 58.3296649554564,6.41987432498041 58.3295100221868,6.4196645612426 58.3339996236553))
0020/2006-VB;Tellnes 8;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.42820138685521 58.3341545815658,6.43673825653546 58.3343089662328,6.43694591687577 58.3298193272282,6.428410077331 58.3296649554564,6.42820138685521 58.3341545815658))
0021/2006-VB;Tellnes 9;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;250000;2500;25;;100;POLYGON ((6.41133865196087 58.3293545300431,6.41987432498041 58.3295100221868,6.4201693592787 58.3250201750811,6.41163477069036 58.3248647020219,6.41133865196087 58.3293545300431))
